handcard1,handcard2,samesuit,preflopfirstactioninnumber,Id
T,A,1,2,1
T,9,0,2,2
7,A,0,2,3
9,6,0,2,4
J,5,0,0,5
5,6,0,2,6
5,6,1,2,7
A,2,0,0,8
4,8,1,2,9
2,K,0,2,10
8,T,1,2,11
9,7,1,2,12
2,J,0,0,13
K,6,1,2,14
T,2,0,0,15
8,K,0,2,16
5,8,1,0,17
9,4,0,0,18
Q,A,0,2,19
Q,9,0,0,20
A,9,0,2,21
J,A,0,0,22
Q,3,0,0,23
6,3,0,0,24
3,6,1,2,25
K,6,0,0,26
Q,9,1,2,27
Q,9,0,0,28
4,4,0,2,29
3,7,1,2,30
6,5,0,0,31
Q,5,0,0,32
6,3,0,0,33
7,4,0,0,34
3,9,1,2,35
J,4,1,2,36
6,6,0,2,37
6,6,0,2,38
K,T,1,2,39
5,7,0,2,40
5,Q,0,0,41
J,2,0,0,42
T,8,1,2,43
K,4,0,2,44
8,7,1,2,45
K,Q,0,2,46
Q,Q,0,2,47
A,2,0,2,48
2,K,0,0,49
9,7,0,2,50
8,T,1,2,51
7,J,1,0,52
Q,7,0,2,53
Q,T,0,0,54
4,Q,0,2,55
Q,2,0,0,56
A,7,0,2,57
7,4,0,0,58
2,Q,1,2,59
K,J,0,2,60
4,K,1,2,61
3,9,1,2,62
2,Q,0,0,63
J,2,0,0,64
8,T,0,2,65
4,T,0,0,66
7,T,0,2,67
A,5,0,0,68
7,8,0,2,69
8,T,1,2,70
5,3,1,2,71
7,4,0,0,72
7,K,0,2,73
T,3,0,0,74
5,K,0,0,75
6,6,0,0,76
6,K,0,2,77
3,6,0,0,78
3,5,1,0,79
K,6,0,2,80
T,2,0,0,81
2,J,0,0,82
J,9,1,2,83
T,7,0,2,84
2,T,0,0,85
A,T,0,2,86
6,T,0,2,87
3,K,0,2,88
Q,K,1,2,89
6,Q,1,0,90
8,T,1,2,91
3,K,0,2,92
3,4,0,2,93
T,3,0,0,94
J,3,0,0,95
5,8,0,2,96
4,J,0,2,97
T,4,0,0,98
J,J,0,2,99
4,Q,0,2,100
7,J,1,2,101
K,J,1,2,102
6,4,0,0,103
8,Q,1,2,104
J,K,0,2,105
7,7,0,2,106
6,J,1,0,107
6,8,0,2,108
7,J,0,2,109
J,5,0,2,110
7,T,0,2,111
4,9,0,0,112
T,A,1,2,113
7,J,0,2,114
8,4,1,2,115
6,K,0,0,116
T,8,1,0,117
6,5,1,2,118
7,J,1,0,119
J,2,0,0,120
A,Q,0,2,121
9,9,0,2,122
5,7,0,0,123
9,K,1,2,124
4,5,0,2,125
6,6,0,2,126
5,5,0,2,127
T,J,1,2,128
J,4,1,2,129
J,T,0,0,130
6,K,0,2,131
4,T,0,2,132
A,Q,1,0,133
4,5,1,2,134
Q,3,0,0,135
T,4,0,0,136
4,3,0,2,137
A,3,0,2,138
J,8,1,0,139
6,7,1,2,140
9,K,1,2,141
5,J,0,0,142
3,5,0,2,143
5,6,0,2,144
Q,K,0,0,145
8,T,0,2,146
T,Q,1,2,147
6,9,0,2,148
K,5,0,2,149
K,9,0,0,150
Q,8,1,2,151
Q,Q,0,2,152
A,A,0,2,153
9,3,0,0,154
Q,9,0,2,155
2,J,0,0,156
9,J,1,2,157
2,2,0,0,158
6,8,0,2,159
A,9,0,2,160
K,7,0,2,161
9,5,0,0,162
7,3,0,0,163
2,2,0,2,164
7,Q,0,0,165
K,8,0,2,166
A,7,0,0,167
6,9,1,2,168
8,T,1,0,169
5,5,0,2,170
K,J,1,2,171
Q,5,0,0,172
2,T,0,0,173
A,J,0,2,174
7,J,0,2,175
A,7,0,0,176
3,A,0,2,177
9,5,1,0,178
3,3,0,2,179
3,5,1,0,180
5,Q,0,0,181
9,A,0,0,182
J,7,1,0,183
7,7,0,2,184
K,T,0,2,185
K,4,1,2,186
T,3,0,0,187
9,9,0,2,188
5,8,0,0,189
K,3,0,0,190
6,J,1,0,191
5,4,0,0,192
K,7,0,2,193
4,4,0,0,194
A,4,0,2,195
2,3,1,2,196
K,K,0,2,197
9,5,0,0,198
7,5,0,2,199
6,A,0,2,200
8,K,0,2,201
J,A,0,2,202
Q,Q,0,2,203
6,4,0,2,204
Q,A,0,2,205
5,7,0,2,206
8,7,1,2,207
3,T,1,2,208
K,T,1,2,209
5,4,0,2,210
T,4,1,2,211
2,J,0,0,212
T,5,0,0,213
Q,7,1,2,214
5,8,0,2,215
4,3,0,2,216
7,8,1,2,217
Q,A,0,2,218
8,9,1,2,219
2,T,0,0,220
8,8,0,0,221
A,J,0,0,222
A,2,0,0,223
J,7,0,0,224
7,6,0,2,225
T,3,1,2,226
6,J,0,0,227
A,9,0,0,228
7,8,0,2,229
5,A,0,2,230
Q,2,1,0,231
5,5,0,2,232
K,9,0,2,233
8,5,0,2,234
T,7,0,2,235
5,T,0,0,236
7,7,0,2,237
4,K,0,0,238
8,9,1,2,239
3,7,0,0,240
A,4,0,2,241
7,A,0,2,242
6,4,0,2,243
K,9,1,2,244
T,J,0,0,245
4,J,0,0,246
Q,Q,0,2,247
2,K,0,2,248
6,3,0,0,249
Q,A,1,0,250
5,J,0,2,251
A,2,0,2,252
A,9,0,2,253
K,5,0,0,254
A,9,1,2,255
9,Q,0,0,256
A,9,0,2,257
K,T,0,2,258
Q,A,0,2,259
4,5,0,2,260
9,8,0,2,261
6,7,0,0,262
Q,9,1,2,263
3,T,0,0,264
J,Q,1,2,265
Q,T,0,0,266
K,2,0,2,267
2,5,0,0,268
T,K,1,2,269
5,4,1,2,270
A,Q,0,2,271
Q,4,0,2,272
K,K,0,0,273
9,Q,0,0,274
A,J,0,2,275
A,T,0,0,276
8,8,0,0,277
9,Q,0,2,278
J,6,0,0,279
Q,4,0,2,280
Q,A,0,2,281
K,9,0,0,282
8,5,0,2,283
2,Q,0,0,284
4,7,1,2,285
A,5,1,2,286
5,A,1,2,287
4,Q,0,0,288
J,A,0,2,289
A,5,1,2,290
5,Q,0,2,291
9,7,0,2,292
7,4,0,0,293
K,2,0,2,294
2,K,0,2,295
6,4,1,2,296
K,T,0,2,297
4,4,0,2,298
8,2,1,2,299
7,K,0,2,300
7,2,1,0,301
4,6,0,2,302
T,J,0,0,303
7,9,0,2,304
3,6,0,0,305
J,4,0,0,306
A,J,1,2,307
9,J,1,2,308
K,8,0,2,309
7,8,1,2,310
T,4,0,0,311
4,K,0,2,312
K,7,0,2,313
9,5,0,0,314
5,T,0,0,315
6,5,1,0,316
A,4,0,2,317
6,4,1,2,318
4,T,0,0,319
7,5,0,0,320
A,A,0,2,321
8,A,0,2,322
6,T,0,2,323
6,9,0,2,324
8,K,0,2,325
K,K,0,2,326
5,Q,0,0,327
4,9,0,0,328
7,J,0,0,329
K,A,0,2,330
3,J,1,2,331
3,J,0,0,332
Q,8,0,2,333
A,2,0,2,334
K,T,0,0,335
2,6,1,2,336
Q,7,1,0,337
7,9,0,2,338
Q,4,0,2,339
4,7,0,0,340
2,Q,0,0,341
7,9,0,2,342
K,K,0,2,343
3,4,0,2,344
7,5,0,0,345
3,9,1,2,346
J,3,0,0,347
7,6,0,2,348
3,3,0,2,349
3,K,0,0,350
Q,7,0,2,351
K,A,0,0,352
A,A,0,2,353
8,5,0,2,354
5,J,1,2,355
T,6,1,2,356
7,T,0,2,357
7,2,1,0,358
7,3,0,0,359
7,Q,1,2,360
5,7,0,2,361
9,J,0,0,362
J,7,0,2,363
A,9,0,2,364
8,K,0,2,365
K,T,0,0,366
7,4,0,0,367
8,6,1,2,368
Q,4,0,0,369
T,T,0,2,370
3,9,0,0,371
2,K,0,2,372
8,A,1,2,373
2,3,1,2,374
K,8,0,2,375
K,6,0,2,376
4,5,1,2,377
T,8,0,2,378
8,6,0,2,379
7,T,1,2,380
7,8,0,2,381
9,3,1,2,382
A,J,0,2,383
7,6,0,2,384
9,7,1,2,385
8,K,0,2,386
K,7,0,2,387
3,J,0,0,388
4,7,1,2,389
8,K,0,2,390
6,J,0,2,391
K,T,0,0,392
A,9,1,2,393
J,J,0,2,394
6,5,0,0,395
J,4,1,2,396
8,A,0,2,397
T,Q,1,2,398
3,Q,1,2,399
Q,3,0,0,400
T,8,0,2,401
6,A,0,2,402
5,J,0,2,403
7,T,1,2,404
K,A,1,0,405
2,K,0,0,406
A,9,0,0,407
J,J,0,2,408
T,J,0,2,409
3,K,0,0,410
Q,3,0,0,411
8,J,0,2,412
3,Q,1,2,413
3,3,0,2,414
3,Q,0,0,415
T,2,0,0,416
J,K,1,2,417
A,4,0,0,418
T,5,0,0,419
5,8,1,2,420
K,J,0,2,421
4,K,0,2,422
8,Q,0,2,423
5,A,0,2,424
T,A,1,2,425
T,3,0,0,426
K,T,0,2,427
K,J,0,0,428
A,2,0,2,429
4,Q,0,0,430
A,2,0,0,431
Q,T,0,2,432
2,J,0,0,433
A,8,0,2,434
3,Q,0,2,435
T,A,1,2,436
T,9,0,0,437
Q,6,1,0,438
8,Q,0,2,439
7,6,0,2,440
K,K,0,2,441
A,J,0,2,442
K,J,1,2,443
8,6,0,2,444
T,J,1,0,445
A,6,0,2,446
3,6,0,0,447
Q,A,0,2,448
J,Q,0,0,449
K,5,0,0,450
3,A,0,2,451
K,A,0,2,452
9,A,0,2,453
5,5,0,2,454
7,9,0,2,455
T,4,0,0,456
9,8,0,2,457
6,7,0,2,458
2,T,1,2,459
7,J,0,0,460
5,J,0,0,461
A,Q,0,2,462
5,4,0,2,463
3,3,0,2,464
Q,4,1,0,465
Q,3,0,0,466
9,6,0,0,467
K,T,0,2,468
9,T,0,2,469
6,5,0,2,470
J,4,0,0,471
4,8,0,0,472
2,J,0,0,473
3,T,1,2,474
J,K,0,2,475
9,5,0,0,476
8,K,0,0,477
8,J,0,2,478
2,K,0,2,479
9,K,1,2,480
2,K,1,0,481
4,6,1,2,482
6,7,0,2,483
J,9,0,2,484
J,4,0,0,485
8,K,1,2,486
4,4,0,2,487
K,6,0,2,488
6,8,0,2,489
7,8,1,2,490
5,5,0,2,491
2,J,0,0,492
A,4,1,2,493
K,9,1,2,494
3,K,0,2,495
K,7,0,2,496
Q,Q,0,2,497
4,J,0,0,498
Q,8,0,2,499
Q,T,1,2,500
3,5,0,0,501
T,8,0,2,502
T,9,0,2,503
7,4,0,0,504
8,9,0,2,505
6,A,0,2,506
Q,4,1,0,507
2,6,1,2,508
7,3,0,0,509
4,6,1,2,510
A,J,0,2,511
6,K,1,0,512
