handcard1,handcard2,samesuit,preflopfirstactioninnumber,id
T,A,1,2,1
T,9,0,2,2
7,A,0,2,3
9,6,0,2,4
J,5,0,0,5
5,6,0,2,6
5,6,1,2,7
A,2,0,0,8
4,8,1,2,9
2,K,0,2,10
8,T,1,2,11
9,7,1,2,12
2,8,0,1,13
2,4,0,1,14
2,J,0,0,15
6,2,0,1,16
K,6,1,2,17
T,2,0,0,18
8,K,0,2,19
5,8,1,0,20
9,4,0,0,21
Q,A,0,2,22
Q,9,0,0,23
A,9,0,2,24
J,A,0,0,25
Q,3,0,0,26
6,3,0,0,27
3,6,1,2,28
K,6,0,0,29
Q,9,1,2,30
Q,9,0,0,31
4,4,0,2,32
3,7,1,2,33
6,5,0,0,34
Q,5,0,0,35
6,3,0,0,36
7,4,0,0,37
2,4,0,1,38
3,9,1,2,39
J,4,1,2,40
6,6,0,2,41
6,6,0,2,42
K,T,1,2,43
5,7,0,2,44
5,Q,0,0,45
J,2,0,0,46
T,8,1,2,47
K,4,0,2,48
8,7,1,2,49
K,Q,0,2,50
Q,Q,0,2,51
A,2,0,2,52
2,K,0,0,53
9,7,0,2,54
8,T,1,2,55
7,J,1,0,56
Q,7,0,2,57
Q,T,0,0,58
4,Q,0,2,59
Q,2,0,0,60
A,7,0,2,61
7,4,0,0,62
2,Q,1,2,63
K,J,0,2,64
4,K,1,2,65
3,9,1,2,66
2,Q,0,0,67
J,2,0,0,68
8,T,0,2,69
4,T,0,0,70
7,T,0,2,71
A,5,0,0,72
7,8,0,2,73
8,T,1,2,74
5,3,1,2,75
7,4,0,0,76
7,K,0,2,77
T,3,0,0,78
5,K,0,0,79
3,7,0,1,80
6,6,0,0,81
6,K,0,2,82
3,6,0,0,83
3,5,1,0,84
K,6,0,2,85
T,2,0,0,86
2,J,0,0,87
J,9,1,2,88
T,7,0,2,89
2,T,0,0,90
A,T,0,2,91
6,T,0,2,92
3,K,0,2,93
Q,K,1,2,94
6,Q,1,0,95
8,T,1,2,96
3,K,0,2,97
3,4,0,2,98
T,3,0,0,99
J,3,0,0,100
2,4,0,1,101
5,8,0,2,102
4,J,0,2,103
T,4,0,0,104
J,J,0,2,105
4,Q,0,2,106
7,J,1,2,107
K,J,1,2,108
6,4,0,0,109
8,Q,1,2,110
J,K,0,2,111
7,7,0,2,112
6,J,1,0,113
6,8,0,2,114
7,J,0,2,115
J,5,0,2,116
7,T,0,2,117
4,9,0,0,118
T,A,1,2,119
7,J,0,2,120
8,4,1,2,121
3,2,0,1,122
6,K,0,0,123
T,8,1,0,124
6,5,1,2,125
7,J,1,0,126
J,2,0,0,127
A,Q,0,2,128
2,8,0,1,129
9,9,0,2,130
5,7,0,0,131
9,K,1,2,132
4,5,0,2,133
6,6,0,2,134
5,5,0,2,135
T,J,1,2,136
J,4,1,2,137
J,T,0,0,138
6,K,0,2,139
4,T,0,2,140
A,Q,1,0,141
4,5,1,2,142
Q,3,0,0,143
T,4,0,0,144
4,3,0,2,145
A,3,0,2,146
J,8,1,0,147
6,2,0,1,148
6,7,1,2,149
9,K,1,2,150
5,J,0,0,151
3,5,0,2,152
5,6,0,2,153
Q,K,0,0,154
4,2,0,1,155
8,T,0,2,156
T,Q,1,2,157
9,2,0,1,158
6,9,0,2,159
K,5,0,2,160
K,9,0,0,161
Q,8,1,2,162
Q,Q,0,2,163
A,A,0,2,164
5,2,0,1,165
9,3,0,0,166
Q,9,0,2,167
2,J,0,0,168
9,J,1,2,169
2,2,0,0,170
6,8,0,2,171
A,9,0,2,172
K,7,0,2,173
9,5,0,0,174
7,3,0,0,175
2,2,0,2,176
7,Q,0,0,177
K,8,0,2,178
A,7,0,0,179
6,9,1,2,180
8,T,1,0,181
5,5,0,2,182
K,J,1,2,183
Q,5,0,0,184
2,T,0,0,185
A,J,0,2,186
7,J,0,2,187
A,7,0,0,188
3,A,0,2,189
9,5,1,0,190
3,3,0,2,191
3,5,1,0,192
5,Q,0,0,193
9,A,0,0,194
J,7,1,0,195
7,7,0,2,196
K,T,0,2,197
8,2,0,1,198
K,4,1,2,199
T,3,0,0,200
9,9,0,2,201
5,8,0,0,202
K,3,0,0,203
6,J,1,0,204
5,4,0,0,205
K,7,0,2,206
4,4,0,0,207
A,4,0,2,208
2,9,0,1,209
2,3,1,2,210
K,K,0,2,211
8,3,0,1,212
9,5,0,0,213
7,5,0,2,214
6,A,0,2,215
8,K,0,2,216
J,A,0,2,217
Q,Q,0,2,218
6,4,0,2,219
Q,A,0,2,220
5,7,0,2,221
8,7,1,2,222
3,T,1,2,223
K,T,1,2,224
5,4,0,2,225
T,4,1,2,226
2,J,0,0,227
T,5,0,0,228
2,4,0,1,229
Q,7,1,2,230
8,3,0,1,231
5,8,0,2,232
4,3,0,2,233
7,8,1,2,234
Q,A,0,2,235
8,9,1,2,236
2,T,0,0,237
8,8,0,0,238
A,J,0,0,239
A,2,0,0,240
J,7,0,0,241
7,6,0,2,242
T,3,1,2,243
6,J,0,0,244
A,9,0,0,245
7,8,0,2,246
5,A,0,2,247
Q,2,1,0,248
5,5,0,2,249
K,9,0,2,250
8,5,0,2,251
T,7,0,2,252
5,T,0,0,253
7,7,0,2,254
4,K,0,0,255
8,9,1,2,256
3,7,0,0,257
A,4,0,2,258
7,A,0,2,259
6,4,0,2,260
K,9,1,2,261
T,J,0,0,262
4,J,0,0,263
Q,Q,0,2,264
2,K,0,2,265
7,3,0,1,266
3,9,0,1,267
6,3,0,0,268
Q,A,1,0,269
5,J,0,2,270
A,2,0,2,271
A,9,0,2,272
7,2,0,1,273
K,5,0,0,274
A,9,1,2,275
9,Q,0,0,276
A,9,0,2,277
K,T,0,2,278
Q,A,0,2,279
4,5,0,2,280
9,8,0,2,281
6,7,0,0,282
Q,9,1,2,283
3,T,0,0,284
J,Q,1,2,285
Q,T,0,0,286
K,2,0,2,287
2,5,0,0,288
T,K,1,2,289
5,4,1,2,290
A,Q,0,2,291
Q,4,0,2,292
9,3,0,1,293
K,K,0,0,294
9,Q,0,0,295
A,J,0,2,296
A,T,0,0,297
4,2,0,1,298
8,8,0,0,299
9,Q,0,2,300
J,6,0,0,301
Q,4,0,2,302
Q,A,0,2,303
K,9,0,0,304
8,5,0,2,305
2,Q,0,0,306
4,7,1,2,307
A,5,1,2,308
5,A,1,2,309
4,Q,0,0,310
J,A,0,2,311
A,5,1,2,312
5,Q,0,2,313
9,7,0,2,314
7,4,0,0,315
K,2,0,2,316
2,K,0,2,317
6,4,1,2,318
K,T,0,2,319
4,4,0,2,320
8,2,1,2,321
7,K,0,2,322
7,2,1,0,323
3,9,0,1,324
4,6,0,2,325
T,J,0,0,326
7,9,0,2,327
3,6,0,0,328
J,4,0,0,329
A,J,1,2,330
9,J,1,2,331
K,8,0,2,332
7,8,1,2,333
T,4,0,0,334
4,K,0,2,335
K,7,0,2,336
9,5,0,0,337
5,T,0,0,338
6,5,1,0,339
A,4,0,2,340
6,4,1,2,341
4,T,0,0,342
7,5,0,0,343
A,A,0,2,344
8,A,0,2,345
6,T,0,2,346
6,9,0,2,347
8,K,0,2,348
K,K,0,2,349
5,Q,0,0,350
4,9,0,0,351
7,J,0,0,352
K,A,0,2,353
3,J,1,2,354
3,J,0,0,355
Q,8,0,2,356
A,2,0,2,357
K,T,0,0,358
2,6,1,2,359
Q,7,1,0,360
7,9,0,2,361
Q,4,0,2,362
4,7,0,0,363
2,Q,0,0,364
7,9,0,2,365
2,3,0,1,366
K,K,0,2,367
3,4,0,2,368
7,5,0,0,369
3,9,1,2,370
J,3,0,0,371
7,6,0,2,372
3,3,0,2,373
3,K,0,0,374
Q,7,0,2,375
K,A,0,0,376
A,A,0,2,377
8,5,0,2,378
5,J,1,2,379
T,6,1,2,380
7,T,0,2,381
4,2,0,1,382
7,2,1,0,383
7,3,0,0,384
7,Q,1,2,385
5,7,0,2,386
9,J,0,0,387
J,7,0,2,388
A,9,0,2,389
8,K,0,2,390
K,T,0,0,391
7,4,0,0,392
8,6,1,2,393
Q,4,0,0,394
T,T,0,2,395
3,9,0,0,396
2,9,0,1,397
2,K,0,2,398
8,A,1,2,399
2,3,0,1,400
2,3,1,2,401
K,8,0,2,402
8,2,0,1,403
K,6,0,2,404
4,5,1,2,405
T,8,0,2,406
8,6,0,2,407
7,T,1,2,408
7,8,0,2,409
9,3,1,2,410
A,J,0,2,411
7,6,0,2,412
9,7,1,2,413
8,K,0,2,414
K,7,0,2,415
3,J,0,0,416
4,7,1,2,417
8,K,0,2,418
6,J,0,2,419
K,T,0,0,420
A,9,1,2,421
J,J,0,2,422
6,5,0,0,423
J,4,1,2,424
8,A,0,2,425
T,Q,1,2,426
3,Q,1,2,427
Q,3,0,0,428
T,8,0,2,429
6,A,0,2,430
5,J,0,2,431
7,T,1,2,432
K,A,1,0,433
2,K,0,0,434
A,9,0,0,435
J,J,0,2,436
T,J,0,2,437
3,K,0,0,438
2,4,0,1,439
Q,3,0,0,440
5,2,0,1,441
8,J,0,2,442
3,Q,1,2,443
3,3,0,2,444
3,Q,0,0,445
T,2,0,0,446
J,K,1,2,447
A,4,0,0,448
T,5,0,0,449
5,8,1,2,450
K,J,0,2,451
4,K,0,2,452
8,Q,0,2,453
5,A,0,2,454
T,A,1,2,455
T,3,0,0,456
9,2,0,1,457
K,T,0,2,458
K,J,0,0,459
7,2,0,1,460
A,2,0,2,461
4,Q,0,0,462
6,2,0,1,463
A,2,0,0,464
3,8,0,1,465
Q,T,0,2,466
2,J,0,0,467
A,8,0,2,468
3,Q,0,2,469
3,2,0,1,470
T,A,1,2,471
T,9,0,0,472
Q,6,1,0,473
8,Q,0,2,474
9,2,0,1,475
7,6,0,2,476
K,K,0,2,477
A,J,0,2,478
K,J,1,2,479
2,8,0,1,480
8,6,0,2,481
T,J,1,0,482
A,6,0,2,483
3,6,0,0,484
Q,A,0,2,485
J,Q,0,0,486
K,5,0,0,487
3,A,0,2,488
K,A,0,2,489
9,A,0,2,490
5,5,0,2,491
7,9,0,2,492
T,4,0,0,493
9,8,0,2,494
6,7,0,2,495
2,T,1,2,496
7,J,0,0,497
5,J,0,0,498
A,Q,0,2,499
5,4,0,2,500
3,3,0,2,501
Q,4,1,0,502
Q,3,0,0,503
9,6,0,0,504
3,8,0,1,505
7,3,0,1,506
K,T,0,2,507
9,T,0,2,508
6,5,0,2,509
J,4,0,0,510
4,8,0,0,511
2,J,0,0,512
